"","GeneID","Number"
"1","TRINITY_DN102431_c0_g1",1
"2","TRINITY_DN104822_c0_g1",2
"3","TRINITY_DN111410_c0_g1",3
"4","TRINITY_DN111543_c0_g1",4
"5","TRINITY_DN111591_c0_g1",5
"6","TRINITY_DN139711_c0_g1",6
"7","TRINITY_DN151645_c0_g1",7
"8","TRINITY_DN151688_c0_g1",8
"9","TRINITY_DN151705_c0_g1",9
"10","TRINITY_DN172833_c0_g1",10
"11","TRINITY_DN172940_c0_g1",11
"12","TRINITY_DN175296_c0_g1",12
"13","TRINITY_DN2119_c1_g1",13
"14","TRINITY_DN22035_c0_g1",14
"15","TRINITY_DN223640_c0_g1",15
"16","TRINITY_DN223644_c0_g1",16
"17","TRINITY_DN223830_c0_g1",17
"18","TRINITY_DN226183_c0_g1",18
"19","TRINITY_DN226613_c0_g1",19
"20","TRINITY_DN226664_c0_g1",20
"21","TRINITY_DN226686_c0_g1",21
"22","TRINITY_DN226922_c0_g1",22
"23","TRINITY_DN227360_c0_g2",23
"24","TRINITY_DN228040_c0_g1",24
"25","TRINITY_DN228042_c0_g1",25
"26","TRINITY_DN231207_c0_g1",26
"27","TRINITY_DN231504_c0_g1",27
"28","TRINITY_DN231598_c0_g2",28
"29","TRINITY_DN233040_c0_g2",29
"30","TRINITY_DN233686_c0_g1",30
"31","TRINITY_DN234168_c0_g1",31
"32","TRINITY_DN234177_c0_g1",32
"33","TRINITY_DN234179_c0_g1",33
"34","TRINITY_DN238280_c0_g1",34
"35","TRINITY_DN250557_c0_g1",35
"36","TRINITY_DN251094_c0_g1",36
"37","TRINITY_DN251132_c0_g1",37
"38","TRINITY_DN25194_c0_g1",38
"39","TRINITY_DN252333_c0_g1",39
"40","TRINITY_DN252362_c0_g1",40
"41","TRINITY_DN252876_c0_g1",41
"42","TRINITY_DN254083_c0_g1",42
"43","TRINITY_DN254084_c0_g1",43
"44","TRINITY_DN254239_c0_g1",44
"45","TRINITY_DN254309_c0_g1",45
"46","TRINITY_DN25521_c0_g1",46
"47","TRINITY_DN255257_c0_g1",47
"48","TRINITY_DN255876_c0_g1",48
"49","TRINITY_DN255899_c0_g1",49
"50","TRINITY_DN255905_c0_g1",50
"51","TRINITY_DN255960_c0_g1",51
"52","TRINITY_DN255993_c0_g1",52
"53","TRINITY_DN256219_c0_g2",53
"54","TRINITY_DN256326_c0_g1",54
"55","TRINITY_DN256462_c0_g1",55
"56","TRINITY_DN256514_c0_g2",56
"57","TRINITY_DN256557_c0_g2",57
"58","TRINITY_DN257902_c0_g1",58
"59","TRINITY_DN257903_c0_g1",59
"60","TRINITY_DN259162_c0_g1",60
"61","TRINITY_DN259522_c0_g1",61
"62","TRINITY_DN259522_c1_g1",62
"63","TRINITY_DN259595_c0_g1",63
"64","TRINITY_DN271000_c0_g1",64
"65","TRINITY_DN271057_c0_g1",65
"66","TRINITY_DN271251_c0_g1",66
"67","TRINITY_DN271265_c0_g1",67
"68","TRINITY_DN271268_c0_g1",68
"69","TRINITY_DN271275_c0_g1",69
"70","TRINITY_DN271596_c0_g1",70
"71","TRINITY_DN271641_c0_g3",71
"72","TRINITY_DN271649_c0_g1",72
"73","TRINITY_DN271662_c0_g1",73
"74","TRINITY_DN271688_c0_g1",74
"75","TRINITY_DN274001_c0_g1",75
"76","TRINITY_DN274005_c0_g1",76
"77","TRINITY_DN274054_c0_g1",77
"78","TRINITY_DN274058_c0_g1",78
"79","TRINITY_DN274570_c1_g1",79
"80","TRINITY_DN274635_c0_g1",80
"81","TRINITY_DN274662_c0_g1",81
"82","TRINITY_DN274697_c0_g1",82
"83","TRINITY_DN274731_c0_g1",83
"84","TRINITY_DN274735_c0_g1",84
"85","TRINITY_DN274795_c0_g2",85
"86","TRINITY_DN274796_c0_g1",86
"87","TRINITY_DN274800_c0_g1",87
"88","TRINITY_DN274808_c0_g1",88
"89","TRINITY_DN274809_c0_g1",89
"90","TRINITY_DN274823_c0_g1",90
"91","TRINITY_DN274831_c0_g1",91
"92","TRINITY_DN274840_c0_g2",92
"93","TRINITY_DN274865_c0_g1",93
"94","TRINITY_DN276015_c0_g1",94
"95","TRINITY_DN276016_c0_g1",95
"96","TRINITY_DN276022_c0_g1",96
"97","TRINITY_DN276025_c0_g1",97
"98","TRINITY_DN276063_c0_g1",98
"99","TRINITY_DN276081_c0_g1",99
"100","TRINITY_DN276081_c0_g2",100
"101","TRINITY_DN276264_c0_g1",101
"102","TRINITY_DN276264_c0_g3",102
"103","TRINITY_DN276293_c0_g1",103
"104","TRINITY_DN276293_c0_g2",104
"105","TRINITY_DN276409_c0_g1",105
"106","TRINITY_DN276418_c0_g1",106
"107","TRINITY_DN276445_c0_g1",107
"108","TRINITY_DN276539_c0_g1",108
"109","TRINITY_DN276554_c0_g1",109
"110","TRINITY_DN276572_c0_g1",110
"111","TRINITY_DN276582_c0_g1",111
"112","TRINITY_DN276586_c0_g1",112
"113","TRINITY_DN276607_c0_g1",113
"114","TRINITY_DN276631_c0_g2",114
"115","TRINITY_DN276843_c0_g1",115
"116","TRINITY_DN276910_c0_g1",116
"117","TRINITY_DN276910_c0_g2",117
"118","TRINITY_DN276935_c0_g1",118
"119","TRINITY_DN276943_c0_g1",119
"120","TRINITY_DN276974_c0_g1",120
"121","TRINITY_DN276983_c0_g1",121
"122","TRINITY_DN276992_c0_g1",122
"123","TRINITY_DN277000_c0_g1",123
"124","TRINITY_DN277003_c0_g1",124
"125","TRINITY_DN277043_c0_g1",125
"126","TRINITY_DN277043_c0_g2",126
"127","TRINITY_DN277047_c0_g1",127
"128","TRINITY_DN277053_c0_g1",128
"129","TRINITY_DN277209_c0_g1",129
"130","TRINITY_DN277215_c0_g1",130
"131","TRINITY_DN277252_c0_g1",131
"132","TRINITY_DN277292_c0_g1",132
"133","TRINITY_DN277371_c0_g1",133
"134","TRINITY_DN277373_c0_g1",134
"135","TRINITY_DN277393_c0_g1",135
"136","TRINITY_DN277394_c0_g1",136
"137","TRINITY_DN277395_c0_g1",137
"138","TRINITY_DN277915_c0_g1",138
"139","TRINITY_DN277933_c0_g1",139
"140","TRINITY_DN278325_c0_g1",140
"141","TRINITY_DN278343_c0_g1",141
"142","TRINITY_DN278380_c0_g1",142
"143","TRINITY_DN278387_c0_g1",143
"144","TRINITY_DN278824_c0_g1",144
"145","TRINITY_DN278923_c1_g1",145
"146","TRINITY_DN278928_c0_g1",146
"147","TRINITY_DN278965_c0_g1",147
"148","TRINITY_DN278966_c0_g1",148
"149","TRINITY_DN278966_c0_g2",149
"150","TRINITY_DN292320_c0_g2",150
"151","TRINITY_DN292320_c0_g4",151
"152","TRINITY_DN292331_c0_g1",152
"153","TRINITY_DN292335_c2_g3",153
"154","TRINITY_DN292371_c5_g1",154
"155","TRINITY_DN292378_c0_g2",155
"156","TRINITY_DN292382_c1_g2",156
"157","TRINITY_DN292383_c0_g1",157
"158","TRINITY_DN292384_c0_g1",158
"159","TRINITY_DN292387_c4_g1",159
"160","TRINITY_DN292396_c0_g1",160
"161","TRINITY_DN292396_c0_g2",161
"162","TRINITY_DN292396_c0_g3",162
"163","TRINITY_DN292396_c0_g4",163
"164","TRINITY_DN292660_c0_g1",164
"165","TRINITY_DN292909_c0_g1",165
"166","TRINITY_DN292914_c1_g1",166
"167","TRINITY_DN292950_c0_g1",167
"168","TRINITY_DN292951_c0_g1",168
"169","TRINITY_DN292961_c0_g1",169
"170","TRINITY_DN292970_c0_g1",170
"171","TRINITY_DN292970_c0_g2",171
"172","TRINITY_DN292973_c0_g1",172
"173","TRINITY_DN292973_c0_g2",173
"174","TRINITY_DN292975_c0_g1",174
"175","TRINITY_DN292978_c1_g13",175
"176","TRINITY_DN292979_c1_g2",176
"177","TRINITY_DN292979_c1_g6",177
"178","TRINITY_DN292998_c2_g1",178
"179","TRINITY_DN292998_c5_g6",179
"180","TRINITY_DN292999_c3_g1",180
"181","TRINITY_DN293332_c0_g1",181
"182","TRINITY_DN293332_c0_g2",182
"183","TRINITY_DN293340_c0_g2",183
"184","TRINITY_DN293346_c7_g1",184
"185","TRINITY_DN293348_c0_g2",185
"186","TRINITY_DN293349_c0_g1",186
"187","TRINITY_DN293350_c0_g1",187
"188","TRINITY_DN293383_c0_g1",188
"189","TRINITY_DN293385_c0_g1",189
"190","TRINITY_DN293394_c0_g1",190
"191","TRINITY_DN293398_c2_g7",191
"192","TRINITY_DN293450_c1_g1",192
"193","TRINITY_DN293455_c0_g1",193
"194","TRINITY_DN293455_c0_g2",194
"195","TRINITY_DN293456_c0_g2",195
"196","TRINITY_DN293483_c0_g1",196
"197","TRINITY_DN293491_c0_g1",197
"198","TRINITY_DN293492_c0_g1",198
"199","TRINITY_DN293493_c3_g1",199
"200","TRINITY_DN293493_c3_g4",200
"201","TRINITY_DN293493_c3_g6",201
"202","TRINITY_DN293494_c0_g1",202
"203","TRINITY_DN293499_c0_g1",203
"204","TRINITY_DN293682_c3_g2",204
"205","TRINITY_DN293689_c0_g1",205
"206","TRINITY_DN293689_c0_g3",206
"207","TRINITY_DN293691_c0_g1",207
"208","TRINITY_DN293813_c0_g1",208
"209","TRINITY_DN293818_c2_g1",209
"210","TRINITY_DN293818_c2_g2",210
"211","TRINITY_DN293818_c3_g2",211
"212","TRINITY_DN293826_c5_g4",212
"213","TRINITY_DN293895_c0_g1",213
"214","TRINITY_DN294142_c0_g1",214
"215","TRINITY_DN294161_c0_g1",215
"216","TRINITY_DN294161_c0_g2",216
"217","TRINITY_DN294184_c0_g1",217
"218","TRINITY_DN294185_c1_g1",218
"219","TRINITY_DN294187_c0_g1",219
"220","TRINITY_DN294189_c0_g1",220
"221","TRINITY_DN294194_c0_g1",221
"222","TRINITY_DN294194_c0_g2",222
"223","TRINITY_DN294619_c0_g2",223
"224","TRINITY_DN294650_c0_g4",224
"225","TRINITY_DN294652_c0_g3",225
"226","TRINITY_DN294655_c3_g1",226
"227","TRINITY_DN294655_c4_g1",227
"228","TRINITY_DN294655_c4_g2",228
"229","TRINITY_DN294657_c0_g2",229
"230","TRINITY_DN294674_c6_g1",230
"231","TRINITY_DN294747_c0_g1",231
"232","TRINITY_DN294759_c0_g1",232
"233","TRINITY_DN294767_c5_g1",233
"234","TRINITY_DN294767_c5_g2",234
"235","TRINITY_DN294772_c2_g5",235
"236","TRINITY_DN294775_c0_g1",236
"237","TRINITY_DN294775_c0_g2",237
"238","TRINITY_DN294776_c2_g6",238
"239","TRINITY_DN294778_c3_g3",239
"240","TRINITY_DN294779_c0_g2",240
"241","TRINITY_DN294779_c1_g2",241
"242","TRINITY_DN294779_c1_g9",242
"243","TRINITY_DN294781_c1_g1",243
"244","TRINITY_DN294781_c2_g1",244
"245","TRINITY_DN294783_c0_g1",245
"246","TRINITY_DN294787_c0_g3",246
"247","TRINITY_DN294789_c1_g1",247
"248","TRINITY_DN295071_c1_g1",248
"249","TRINITY_DN295075_c3_g1",249
"250","TRINITY_DN295083_c1_g3",250
"251","TRINITY_DN295083_c2_g1",251
"252","TRINITY_DN295213_c0_g1",252
"253","TRINITY_DN295214_c0_g1",253
"254","TRINITY_DN295216_c0_g2",254
"255","TRINITY_DN295218_c0_g1",255
"256","TRINITY_DN295223_c0_g1",256
"257","TRINITY_DN295224_c1_g2",257
"258","TRINITY_DN295225_c0_g2",258
"259","TRINITY_DN295225_c1_g1",259
"260","TRINITY_DN295268_c2_g1",260
"261","TRINITY_DN295269_c0_g3",261
"262","TRINITY_DN295269_c0_g4",262
"263","TRINITY_DN295269_c0_g5",263
"264","TRINITY_DN295269_c0_g6",264
"265","TRINITY_DN295270_c0_g1",265
"266","TRINITY_DN296278_c0_g3",266
"267","TRINITY_DN296278_c0_g4",267
"268","TRINITY_DN296278_c0_g5",268
"269","TRINITY_DN296362_c0_g1",269
"270","TRINITY_DN296362_c0_g2",270
"271","TRINITY_DN296362_c0_g5",271
"272","TRINITY_DN296376_c0_g1",272
"273","TRINITY_DN296377_c0_g1",273
"274","TRINITY_DN296379_c5_g1",274
"275","TRINITY_DN296706_c2_g1",275
"276","TRINITY_DN296757_c3_g1",276
"277","TRINITY_DN296758_c2_g1",277
"278","TRINITY_DN296758_c2_g5",278
"279","TRINITY_DN296759_c4_g1",279
"280","TRINITY_DN296771_c4_g2",280
"281","TRINITY_DN296781_c0_g1",281
"282","TRINITY_DN296783_c0_g1",282
"283","TRINITY_DN296786_c0_g1",283
"284","TRINITY_DN296786_c0_g3",284
"285","TRINITY_DN296791_c0_g1",285
"286","TRINITY_DN296798_c5_g3",286
"287","TRINITY_DN298147_c1_g1",287
"288","TRINITY_DN298149_c0_g1",288
"289","TRINITY_DN298161_c0_g1",289
"290","TRINITY_DN298164_c0_g1",290
"291","TRINITY_DN298165_c0_g2",291
"292","TRINITY_DN298167_c1_g1",292
"293","TRINITY_DN298173_c0_g1",293
"294","TRINITY_DN298177_c0_g1",294
"295","TRINITY_DN298179_c0_g2",295
"296","TRINITY_DN298237_c0_g1",296
"297","TRINITY_DN298237_c0_g2",297
"298","TRINITY_DN298417_c1_g1",298
"299","TRINITY_DN298447_c0_g1",299
"300","TRINITY_DN298447_c1_g1",300
"301","TRINITY_DN298449_c3_g4",301
"302","TRINITY_DN298449_c4_g2",302
"303","TRINITY_DN298472_c6_g2",303
"304","TRINITY_DN298472_c6_g3",304
"305","TRINITY_DN298476_c0_g1",305
"306","TRINITY_DN298602_c0_g1",306
"307","TRINITY_DN298605_c1_g1",307
"308","TRINITY_DN298615_c0_g2",308
"309","TRINITY_DN298618_c0_g1",309
"310","TRINITY_DN298802_c0_g2",310
"311","TRINITY_DN298805_c0_g1",311
"312","TRINITY_DN298805_c0_g2",312
"313","TRINITY_DN298805_c0_g4",313
"314","TRINITY_DN298831_c0_g1",314
"315","TRINITY_DN298832_c0_g1",315
"316","TRINITY_DN298832_c1_g1",316
"317","TRINITY_DN298834_c0_g1",317
"318","TRINITY_DN298834_c0_g2",318
"319","TRINITY_DN298836_c0_g1",319
"320","TRINITY_DN298841_c2_g1",320
"321","TRINITY_DN298843_c0_g1",321
"322","TRINITY_DN298848_c3_g2",322
"323","TRINITY_DN298862_c0_g3",323
"324","TRINITY_DN298863_c0_g2",324
"325","TRINITY_DN299020_c1_g1",325
"326","TRINITY_DN299024_c0_g1",326
"327","TRINITY_DN299032_c0_g1",327
"328","TRINITY_DN299040_c0_g1",328
"329","TRINITY_DN299042_c0_g1",329
"330","TRINITY_DN299202_c0_g2",330
"331","TRINITY_DN299209_c0_g1",331
"332","TRINITY_DN299255_c0_g1",332
"333","TRINITY_DN299255_c0_g5",333
"334","TRINITY_DN299263_c0_g1",334
"335","TRINITY_DN299263_c0_g2",335
"336","TRINITY_DN299263_c0_g3",336
"337","TRINITY_DN299270_c6_g1",337
"338","TRINITY_DN299270_c7_g1",338
"339","TRINITY_DN299275_c0_g1",339
"340","TRINITY_DN299276_c0_g3",340
"341","TRINITY_DN299276_c0_g5",341
"342","TRINITY_DN299291_c1_g1",342
"343","TRINITY_DN299296_c0_g1",343
"344","TRINITY_DN299653_c1_g2",344
"345","TRINITY_DN299656_c3_g3",345
"346","TRINITY_DN299658_c5_g1",346
"347","TRINITY_DN299722_c1_g1",347
"348","TRINITY_DN299726_c0_g1",348
"349","TRINITY_DN299729_c1_g1",349
"350","TRINITY_DN299750_c2_g1",350
"351","TRINITY_DN299750_c3_g1",351
"352","TRINITY_DN299750_c3_g2",352
"353","TRINITY_DN299750_c3_g3",353
"354","TRINITY_DN299755_c1_g3",354
"355","TRINITY_DN299755_c1_g4",355
"356","TRINITY_DN299758_c1_g1",356
"357","TRINITY_DN299758_c1_g2",357
"358","TRINITY_DN299782_c2_g3",358
"359","TRINITY_DN299783_c0_g3",359
"360","TRINITY_DN299788_c0_g1",360
"361","TRINITY_DN299789_c0_g1",361
"362","TRINITY_DN299795_c0_g1",362
"363","TRINITY_DN310027_c1_g1",363
"364","TRINITY_DN310080_c0_g1",364
"365","TRINITY_DN310080_c0_g3",365
"366","TRINITY_DN310082_c1_g1",366
"367","TRINITY_DN310084_c1_g1",367
"368","TRINITY_DN310084_c1_g2",368
"369","TRINITY_DN310085_c0_g1",369
"370","TRINITY_DN310729_c0_g1",370
"371","TRINITY_DN310742_c0_g4",371
"372","TRINITY_DN310742_c1_g1",372
"373","TRINITY_DN310742_c1_g3",373
"374","TRINITY_DN310743_c0_g1",374
"375","TRINITY_DN310743_c5_g1",375
"376","TRINITY_DN310744_c0_g3",376
"377","TRINITY_DN310745_c1_g1",377
"378","TRINITY_DN310746_c0_g1",378
"379","TRINITY_DN310746_c0_g3",379
"380","TRINITY_DN310761_c3_g1",380
"381","TRINITY_DN310761_c3_g3",381
"382","TRINITY_DN310761_c3_g4",382
"383","TRINITY_DN310763_c4_g1",383
"384","TRINITY_DN310765_c2_g2",384
"385","TRINITY_DN310768_c2_g1",385
"386","TRINITY_DN310768_c2_g2",386
"387","TRINITY_DN311070_c0_g2",387
"388","TRINITY_DN311070_c0_g3",388
"389","TRINITY_DN311077_c1_g1",389
"390","TRINITY_DN311412_c1_g1",390
"391","TRINITY_DN311414_c0_g1",391
"392","TRINITY_DN311418_c0_g2",392
"393","TRINITY_DN311418_c0_g3",393
"394","TRINITY_DN311419_c1_g1",394
"395","TRINITY_DN311419_c1_g2",395
"396","TRINITY_DN311463_c2_g1",396
"397","TRINITY_DN311463_c3_g2",397
"398","TRINITY_DN311468_c0_g1",398
"399","TRINITY_DN311475_c2_g1",399
"400","TRINITY_DN311476_c1_g3",400
"401","TRINITY_DN311478_c1_g1",401
"402","TRINITY_DN311478_c1_g2",402
"403","TRINITY_DN311484_c1_g1",403
"404","TRINITY_DN311484_c1_g3",404
"405","TRINITY_DN311484_c1_g5",405
"406","TRINITY_DN311486_c4_g1",406
"407","TRINITY_DN311493_c0_g1",407
"408","TRINITY_DN311730_c0_g1",408
"409","TRINITY_DN311738_c1_g1",409
"410","TRINITY_DN311742_c0_g1",410
"411","TRINITY_DN311743_c1_g1",411
"412","TRINITY_DN311745_c0_g3",412
"413","TRINITY_DN311752_c0_g1",413
"414","TRINITY_DN311753_c2_g3",414
"415","TRINITY_DN311753_c2_g8",415
"416","TRINITY_DN311774_c0_g1",416
"417","TRINITY_DN311783_c0_g2",417
"418","TRINITY_DN311784_c3_g3",418
"419","TRINITY_DN311788_c0_g1",419
"420","TRINITY_DN311789_c4_g1",420
"421","TRINITY_DN311790_c1_g3",421
"422","TRINITY_DN311791_c1_g2",422
"423","TRINITY_DN311791_c2_g1",423
"424","TRINITY_DN311792_c1_g1",424
"425","TRINITY_DN311798_c0_g2",425
"426","TRINITY_DN311986_c0_g1",426
"427","TRINITY_DN311987_c0_g1",427
"428","TRINITY_DN311987_c0_g6",428
"429","TRINITY_DN312001_c0_g1",429
"430","TRINITY_DN312003_c1_g6",430
"431","TRINITY_DN312005_c0_g4",431
"432","TRINITY_DN312007_c1_g4",432
"433","TRINITY_DN312065_c5_g1",433
"434","TRINITY_DN312090_c4_g1",434
"435","TRINITY_DN312093_c0_g7",435
"436","TRINITY_DN312095_c1_g3",436
"437","TRINITY_DN312702_c0_g1",437
"438","TRINITY_DN312705_c0_g2",438
"439","TRINITY_DN312705_c0_g3",439
"440","TRINITY_DN312707_c1_g1",440
"441","TRINITY_DN312713_c2_g1",441
"442","TRINITY_DN312716_c1_g1",442
"443","TRINITY_DN312717_c0_g3",443
"444","TRINITY_DN312719_c0_g1",444
"445","TRINITY_DN312725_c0_g2",445
"446","TRINITY_DN312726_c1_g1",446
"447","TRINITY_DN312726_c1_g3",447
"448","TRINITY_DN312728_c0_g1",448
"449","TRINITY_DN312737_c2_g3",449
"450","TRINITY_DN312737_c2_g4",450
"451","TRINITY_DN312737_c2_g5",451
"452","TRINITY_DN312738_c3_g1",452
"453","TRINITY_DN312740_c0_g1",453
"454","TRINITY_DN312741_c6_g2",454
"455","TRINITY_DN312741_c6_g4",455
"456","TRINITY_DN312745_c1_g1",456
"457","TRINITY_DN312745_c1_g2",457
"458","TRINITY_DN312745_c1_g3",458
"459","TRINITY_DN312745_c1_g6",459
"460","TRINITY_DN312752_c3_g1",460
"461","TRINITY_DN312753_c3_g2",461
"462","TRINITY_DN312754_c1_g1",462
"463","TRINITY_DN312799_c0_g2",463
"464","TRINITY_DN314109_c1_g1",464
"465","TRINITY_DN314109_c2_g1",465
"466","TRINITY_DN314157_c1_g1",466
"467","TRINITY_DN314157_c1_g3",467
"468","TRINITY_DN314160_c4_g1",468
"469","TRINITY_DN314167_c0_g1",469
"470","TRINITY_DN314168_c2_g5",470
"471","TRINITY_DN314170_c2_g1",471
"472","TRINITY_DN314173_c1_g1",472
"473","TRINITY_DN314173_c2_g1",473
"474","TRINITY_DN314176_c0_g1",474
"475","TRINITY_DN314176_c1_g1",475
"476","TRINITY_DN314179_c1_g1",476
"477","TRINITY_DN314196_c0_g1",477
"478","TRINITY_DN314218_c0_g2",478
"479","TRINITY_DN314234_c0_g5",479
"480","TRINITY_DN314236_c0_g1",480
"481","TRINITY_DN314275_c4_g1",481
"482","TRINITY_DN314626_c2_g5",482
"483","TRINITY_DN314627_c4_g1",483
"484","TRINITY_DN314629_c0_g1",484
"485","TRINITY_DN314641_c0_g1",485
"486","TRINITY_DN314643_c0_g3",486
"487","TRINITY_DN314645_c3_g1",487
"488","TRINITY_DN314645_c3_g2",488
"489","TRINITY_DN314645_c3_g3",489
"490","TRINITY_DN314831_c0_g1",490
"491","TRINITY_DN314831_c1_g1",491
"492","TRINITY_DN314832_c0_g1",492
"493","TRINITY_DN314834_c0_g2",493
"494","TRINITY_DN314842_c0_g2",494
"495","TRINITY_DN314848_c0_g1",495
"496","TRINITY_DN314863_c3_g4",496
"497","TRINITY_DN314864_c1_g2",497
"498","TRINITY_DN314883_c0_g1",498
"499","TRINITY_DN316210_c2_g1",499
"500","TRINITY_DN316210_c3_g3",500
"501","TRINITY_DN316221_c2_g2",501
"502","TRINITY_DN316221_c2_g4",502
"503","TRINITY_DN316223_c6_g3",503
"504","TRINITY_DN316228_c3_g1",504
"505","TRINITY_DN316260_c0_g1",505
"506","TRINITY_DN316260_c0_g3",506
"507","TRINITY_DN316647_c2_g1",507
"508","TRINITY_DN316649_c0_g1",508
"509","TRINITY_DN316900_c0_g1",509
"510","TRINITY_DN316900_c0_g2",510
"511","TRINITY_DN316900_c0_g3",511
"512","TRINITY_DN316904_c8_g6",512
"513","TRINITY_DN316932_c1_g1",513
"514","TRINITY_DN316936_c5_g1",514
"515","TRINITY_DN316951_c1_g2",515
"516","TRINITY_DN316973_c2_g1",516
"517","TRINITY_DN316974_c2_g2",517
"518","TRINITY_DN316991_c4_g1",518
"519","TRINITY_DN316993_c2_g1",519
"520","TRINITY_DN317243_c9_g4",520
"521","TRINITY_DN317261_c4_g1",521
"522","TRINITY_DN317261_c5_g1",522
"523","TRINITY_DN317263_c4_g2",523
"524","TRINITY_DN318563_c0_g1",524
"525","TRINITY_DN34409_c0_g1",525
"526","TRINITY_DN3463_c0_g1",526
"527","TRINITY_DN3495_c0_g1",527
"528","TRINITY_DN371660_c0_g1",528
"529","TRINITY_DN38592_c0_g1",529
"530","TRINITY_DN45784_c0_g1",530
"531","TRINITY_DN46127_c0_g1",531
"532","TRINITY_DN4638_c0_g1",532
"533","TRINITY_DN524499_c0_g1",533
"534","TRINITY_DN544815_c0_g1",534
"535","TRINITY_DN546034_c0_g1",535
"536","TRINITY_DN553854_c0_g1",536
"537","TRINITY_DN6259_c0_g1",537
"538","TRINITY_DN6371_c0_g1",538
"539","TRINITY_DN643084_c0_g1",539
"540","TRINITY_DN680_c0_g1",540
